datetime_local,location_name,latitude,longitude,value,parameter_name,unit_of_measure
2023-01-01 06:00:00,Mooroolbark,-37.7749672,145.3285,15.4,PM10,ug/m3
2023-01-01 06:00:00,Altona North,-37.84455,144.8629,17.161,DBT,deg.C
2023-01-01 06:00:00,Dandenong,-37.98576,145.1987,63.284,BSP,1/Mm
2023-01-01 06:00:00,Dandenong,-37.98576,145.1987,10.974,PM2.5,ug/m3
2023-01-01 06:00:00,Geelong South,-38.17356,144.3703,50.341,BSP,1/Mm
2023-01-01 06:00:00,Footscray,-37.803709,144.869342,18.669,DBT,deg.C
2023-01-01 06:00:00,Footscray,-37.803709,144.869342,7.402,O3,ppb
2023-01-01 06:00:00,Dandenong,-37.98576,145.1987,12.214,NO2,ppb
2023-01-01 06:00:00,Footscray,-37.803709,144.869342,23.147,PM10,ug/m3
2023-01-01 06:00:00,Geelong South,-38.17356,144.3703,17.902,DBT,deg.C
2023-01-01 06:00:00,Dandenong,-37.98576,145.1987,18.471,DBT,deg.C
2023-01-01 06:00:00,Mooroolbark,-37.7749672,145.3285,28.663,BSP,1/Mm
2023-01-01 06:00:00,Geelong South,-38.17356,144.3703,10.845,PM2.5,ug/m3
2023-01-01 06:00:00,Alphington,-37.7784081,145.0306,7.476,NO2,ppb
2023-01-01 06:00:00,Geelong South,-38.17356,144.3703,15.868,O3,ppb
2023-01-01 06:00:00,Footscray,-37.803709,144.869342,0.237,SO2,ppb
2023-01-01 06:00:00,Box Hill,-37.8287277,145.1324,10.934,PM2.5,ug/m3
2023-01-01 06:00:00,Alphington,-37.7784081,145.0306,4.266,O3,ppb
2023-01-01 06:00:00,Footscray,-37.803709,144.869342,11.611,PM2.5,ug/m3
2023-01-01 06:00:00,Mooroolbark,-37.7749672,145.3285,18.598,DBT,deg.C
2023-01-01 06:00:00,Alphington,-37.7784081,145.0306,23.489,PM10,ug/m3
2023-01-01 06:00:00,Alphington,-37.7784081,145.0306,0.082,SO2,ppb
2023-01-01 06:00:00,Mooroolbark,-37.7749672,145.3285,9.864,O3,ppb
2023-01-01 06:00:00,Altona North,-37.84455,144.8629,9.304,NO2,ppb
2023-01-01 06:00:00,Dandenong,-37.98576,145.1987,28.549,PM10,ug/m3
2023-01-01 06:00:00,Footscray,-37.803709,144.869342,8.838,NO2,ppb
2023-01-01 06:00:00,Geelong South,-38.17356,144.3703,1.84,NO2,ppb
2023-01-01 06:00:00,Alphington,-37.7784081,145.0306,17.915,DBT,deg.C
2023-01-01 06:00:00,Alphington,-37.7784081,145.0306,58.454,BSP,1/Mm
2023-01-01 06:00:00,Brighton,-37.9135475,144.998,12.206,PM2.5,ug/m3
2023-01-01 06:00:00,Altona North,-37.84455,144.8629,-2.007,SO2,ppb
2023-01-01 06:00:00,Geelong South,-38.17356,144.3703,13.348,PM10,ug/m3
2023-01-01 06:00:00,Dandenong,-37.98576,145.1987,4.677,O3,ppb
2023-01-01 12:00:00,Mooroolbark,-37.7749672,145.3285,13.939,PM10,ug/m3
2023-01-01 12:00:00,Altona North,-37.84455,144.8629,35.212,DBT,deg.C
2023-01-01 12:00:00,Dandenong,-37.98576,145.1987,19.2,BSP,1/Mm
2023-01-01 12:00:00,Dandenong,-37.98576,145.1987,13.503,PM2.5,ug/m3
2023-01-01 12:00:00,Point Cook,-37.9263153,144.7567,18.639,BSP,1/Mm
2023-01-01 12:00:00,Geelong South,-38.17356,144.3703,36.901,BSP,1/Mm
2023-01-01 12:00:00,Footscray,-37.803709,144.869342,33.601,DBT,deg.C
2023-01-01 12:00:00,Brooklyn,-37.8220978,144.8471,32.992,DBT,deg.C
2023-01-01 12:00:00,Footscray,-37.803709,144.869342,41.213,O3,ppb
2023-01-01 12:00:00,Dandenong,-37.98576,145.1987,2.764,NO2,ppb
2023-01-01 12:00:00,Footscray,-37.803709,144.869342,3.789,PM10,ug/m3
2023-01-01 12:00:00,Geelong South,-38.17356,144.3703,31.266,DBT,deg.C
2023-01-01 12:00:00,Dandenong,-37.98576,145.1987,33.296,DBT,deg.C
2023-01-01 12:00:00,Point Cook,-37.9263153,144.7567,34.254,DBT,deg.C
2023-01-01 12:00:00,Brooklyn,-37.8220978,144.8471,19.904,BSP,1/Mm
2023-01-01 12:00:00,Mooroolbark,-37.7749672,145.3285,29.087,BSP,1/Mm
2023-01-01 12:00:00,Brooklyn,-37.8220978,144.8471,11.611,PM10,ug/m3
2023-01-01 12:00:00,Geelong South,-38.17356,144.3703,15.417,PM2.5,ug/m3
2023-01-01 12:00:00,Box Hill,-37.8287277,145.1324,9.261,PM2.5,ug/m3
